P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P39708,DHE5_YEAST,YAL062W,NADP-specific glutamate dehydrogenase 2,GDH3,FUN51
P39707,SEN34_YEAST,YAR008W,tRNA-splicing endonuclease subunit SEN34,SEN34,FUN4
P22209,KIN3_YEAST,YAR018C,Serine/threonine-protein kinase KIN3,KIN3,FUN52;NPK1
P27636,CDC15_YEAST,YAR019C,Cell division control protein 15,CDC15,LYT1
P32768,FLO1_YEAST,YAR050W,Flocculation protein FLO1 precursor,FLO1,FLO2;FLO4
P02294,H2B2_YEAST,YBL002W,Histone H2B.2,HTB2,H2B2
P04912,H2A2_YEAST,YBL003C,Histone H2A.2,HTA2,H2A2
Q05359,ERP1_YEAST,YAR002C-A,Protein ERP1 precursor,ERP1,
P33200,PDR3_YEAST,YBL005W,Transcription factor PDR3,PDR3,AMY2;TPE2
P38210,LDB7_YEAST,YBL006C,Chromatin structure remodeling complex protein RSC14,LDB7,RSC14
P27637,BUD14_YEAST,YAR014C,Bud site selection protein 14,BUD14,
P16892,FUS3_YEAST,YBL016W,Mitogen-activated protein kinase FUS3,FUS3,DAC2
P32319,PEP1_YEAST,YBL017C,Vacuolar protein sorting/targeting protein PEP1 precursor,PEP1,VPS10;VPT1
P38207,APN2_YEAST,YBL019W,DNA-(apurinic or apyrimidinic site) lyase 2,APN2,ETH1
P36775,LONM_YEAST,YBL022C,Lon protease homolog, mitochondrial precursor,PIM1,LON;LON1
P38205,NCL1_YEAST,YBL024W,Putative methyltransferase NCL1,NCL1,TRM4
P38203,LSM2_YEAST,YBL026W,U6 snRNA-associated Sm-like protein LSm2,LSM2,SMX5;SNP3
P27616,PUR7_YEAST,YAR015W,Phosphoribosylaminoimidazole-succinocarboxamide synthase,ADE1,
P39545,PAU7_YEAST,YAR020C,Seripauperin-7,PAU7,
P38064,RM16_YEAST,YBL038W,60S ribosomal protein L16, mitochondrial precursor,MRPL16,RML16
P23724,PSB1_YEAST,YBL041W,Proteasome component C5,PRE7,PRS3;PTS1
P07256,UQCR1_YEAST,YBL045C,Ubiquinol-cytochrome-c reductase complex core protein 1, mitochondrial precursor,COR1,QCR1
P38193,PP4R2_YEAST,YBL046W,Serine/threonine-protein phosphatase 4 regulatory subunit 2,PSY4,HTP3
P39547,UIP3_YEAST,YAR027W,ULP1-interacting protein 3,UIP3,
P34217,PIN4_YEAST,YBL051C,RNA-binding protein PIN4,PIN4,MDT1
P34223,UBX1_YEAST,YBL058W,UBX domain-containing protein 1,SHP1,UBX1
P34218,SAS3_YEAST,YBL052C,Histone acetyltransferase SAS3,SAS3,
P34226,SKT5_YEAST,YBL061C,Protein SKT5,SKT5,CAL2;CHS4;CSD4
P28742,KIP1_YEAST,YBL063W,Kinesin-like protein KIP1,KIP1,CIN9
P38063,KPR4_YEAST,YBL068W,Probable ribose-phosphate pyrophosphokinase 4,PRS4,PRPS4
Q3E840,DPH3_YEAST,YBL071W-A,Diphthamide biosynthesis protein 3,KTI11,DPH3
P09435,HSP73_YEAST,YBL075C,Heat shock protein SSA3,SSA3,YG106
P38182,ATG8_YEAST,YBL078C,Autophagy-related protein 8 precursor,ATG8,APG8;AUT7;CVT5
P38181,NU170_YEAST,YBL079W,Nucleoporin NUP170,NUP170,NLE3
P38179,ALG3_YEAST,YBL082C,Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase,ALG3,RHK1
P38042,CDC27_YEAST,YBL084C,Anaphase-promoting complex subunit CDC27,CDC27,APC3;SNB1
P34221,PP2C3_YEAST,YBL056W,Protein phosphatase 2C homolog 3,PTC3,
P25046,MED19_YEAST,YBL093C,RNA polymerase II mediator complex subunit 19,ROX3,MED19;NUT3;SSN7
P24583,KPC1_YEAST,YBL105C,Protein kinase C-like 1,PKC1,CLY15;HPO2;STT1
P38211,GPI18_YEAST,YBR004C,GPI mannosyltransferase 2,GPI18,FMP44
P38067,UGA2_YEAST,YBR006W,Succinate-semialdehyde dehydrogenase [NADP+],UGA2,UGA5
P34222,PTH2_YEAST,YBL057C,Peptidyl-tRNA hydrolase 2,PTH2,
P00817,IPYR_YEAST,YBR011C,Inorganic pyrophosphatase,IPP1,PPA;PPA1
P34227,PRX1_YEAST,YBL064C,Mitochondrial peroxiredoxin PRX1,PRX1,
P34228,SEF1_YEAST,YBL066C,Putative transcription factor SEF1,SEF1,
P29465,CHS3_YEAST,YBR023C,Chitin synthase 3,CHS3,CAL1;CSD2;DIT101;KIT2;KTI2
P38187,UBP13_YEAST,YBL067C,Ubiquitin carboxyl-terminal hydrolase 13,UBP13,
P38071,ETR1_YEAST,YBR026C,Enoyl-[acyl-carrier protein] reductase [NADPH, B-specific], mitochondrial precursor,ETR1,MRF1;MRF1'
P38221,CDS1_YEAST,YBR029C,Phosphatidate cytidylyltransferase,CDS1,CDG1
P10664,RL4A_YEAST,YBR031W,60S ribosomal protein L4-A,RPL4A,RPL2;RPL2A
P38075,PDX3_YEAST,YBR035C,Pyridoxamine 5'-phosphate oxidase,PDX3,
P21538,REB1_YEAST,YBR049C,DNA-binding protein REB1,REB1,GRF2
P38225,FAT1_YEAST,YBR041W,Very long-chain fatty acid transport protein,FAT1,
P19735,PRP6_YEAST,YBR055C,Pre-mRNA-splicing factor 6,PRP6,RNA6;TSM7269
P38236,MUM2_YEAST,YBR057C,Protein MUM2,MUM2,SPOT8
P38237,UBP14_YEAST,YBR058C,Ubiquitin carboxyl-terminal hydrolase 14,UBP14,GID6
P32833,ORC2_YEAST,YBR060C,Origin recognition complex subunit 2,ORC2,RRR1;SIR5
P38241,SLT11_YEAST,YBR065C,Pre-mRNA-splicing factor SLT11,ECM2,SLT11
P38086,RDH54_YEAST,YBR073W,DNA repair and recombination protein RDH54,RDH54,TID1
P38228,TCM62_YEAST,YBR044C,Mitochondrial chaperone TCM62,TCM62,
P18759,SEC18_YEAST,YBR080C,Vesicular-fusion protein SEC18,SEC18,ANU4
P35177,SPT7_YEAST,YBR081C,Transcriptional activator SPT7,SPT7,GIT2
P18412,TEC1_YEAST,YBR083W,Ty transcription activator TEC1,TEC1,ROC1
P18238,ADT3_YEAST,YBR085W,ADP,ATP carrier protein 3,AAC3,ANC3
P11633,NHP6B_YEAST,YBR089C-A,Nonhistone chromosomal protein 6B,NHP6B,NHPB;YBR090C-A
P32830,TIM12_YEAST,YBR091C,Mitochondrial import inner membrane translocase subunit TIM12,MRS5,TIM12
P38229,GIP1_YEAST,YBR045C,GLC7-interacting protein 1,GIP1,
P38255,RXT2_YEAST,YBR095C,Transcriptional regulatory protein RXT2,RXT2,RAF60
P22219,VPS15_YEAST,YBR097W,Serine/threonine-protein kinase VPS15,VPS15,GRD8;VAC4;VPL19
P38230,QOR_YEAST,YBR046C,Probable quinone oxidoreductase,ZTA1,
P38232,REG2_YEAST,YBR050C,Protein REG2,REG2,
P38261,EXO84_YEAST,YBR102C,Exocyst complex component EXO84,EXO84,USA3
P38262,SIF2_YEAST,YBR103W,SIR4-interacting protein SIF2,SIF2,EMB1
P38263,VID24_YEAST,YBR105C,Vacuolar import and degradation protein 24,VID24,GID4
P38265,IML3_YEAST,YBR107C,Central kinetochore subunit IML3,IML3,MCM19
Q01976,ADPP_YEAST,YBR111C,ADP-ribose pyrophosphatase,YSA1,RMA2
P14922,CYC8_YEAST,YBR112C,Glucose repression mediator protein CYC8,CYC8,CRT8;SSN6
P31244,RAD16_YEAST,YBR114W,DNA repair protein RAD16,RAD16,PSO5
P38089,PP2C4_YEAST,YBR125C,Protein phosphatase 2C homolog 4,PTC4,GCT1
Q00764,TPS1_YEAST,YBR126C,Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit,TPS1,BYP1;CIF1;FDP1;GGS1;GLC6;TSS1
P16140,VATB_YEAST,YBR127C,Vacuolar ATP synthase subunit B,VMA2,ATPSV;VAT2
P38270,ATG14_YEAST,YBR128C,Autophagy-related protein 14,ATG14,APG14;CVT12
P38087,YMC2_YEAST,YBR104W,Carrier protein YMC2, mitochondrial precursor,YMC2,
P38264,PHO88_YEAST,YBR106W,Inorganic phosphate transporter PHO88,PHO88,
P38111,ATR_YEAST,YBR136W,Serine/threonine-protein kinase MEC1,MEC1,ESR1;SAD3
P18963,IRA1_YEAST,YBR140C,Inhibitory regulator protein IRA1,IRA1,GLC1;PPD1
P16661,ALG1_YEAST,YBR110W,Chitobiosyldiphosphodolichol beta-mannosyltransferase,ALG1,
P07702,LYS2_YEAST,YBR115C,L-aminoadipate-semialdehyde dehydrogenase,LYS2,
P33315,TKT2_YEAST,YBR117C,Transketolase 2,TKL2,
P32605,RU1A_YEAST,YBR119W,U1 small nuclear ribonucleoprotein A,MUD1,
P07253,CBP6_YEAST,YBR120C,Cytochrome B pre-mRNA-processing protein 6,CBP6,
P00546,CDC28_YEAST,YBR160W,Cell division control protein 28,CDC28,CDK1;HSL5;SRM5
P38088,SYG_YEAST,YBR121C,Glycyl-tRNA synthetase 1,GRS1,
P38116,ARL1_YEAST,YBR164C,ADP-ribosylation factor-like protein 1,ARL1,ARF3;DLP2
P38291,POP7_YEAST,YBR167C,Ribonucleases P/MRP protein subunit POP7,POP7,RPP2
P32590,HSP79_YEAST,YBR169C,Heat shock protein homolog SSE2,SSE2,HSP
P33755,NPL4_YEAST,YBR170C,Protein NPL4,NPL4,HRD4
P33754,SEC66_YEAST,YBR171W,Translocation protein SEC66,SEC66,HSS1;SEC71
P13712,MSI1_YEAST,YBR195C,Chromatin assembly factor 1 subunit p50,MSI1,CAC3
P12709,G6PI_YEAST,YBR196C,Glucose-6-phosphate isomerase,PGI1,CDC30
P38129,TAF5_YEAST,YBR198C,Transcription initiation factor TFIID subunit 5,TAF5,TAF90
P38126,PCH2_YEAST,YBR186W,Pachytene checkpoint protein 2,PCH2,
P32528,DUR1_YEAST,YBR208C,Urea amidolyase,DUR1,2,DUR80
P38313,AME1_YEAST,YBR211C,Central kinetochore subunit AME1,AME1,ARP100
P32831,NGR1_YEAST,YBR212W,Negative growth regulatory protein NGR1,NGR1,RBP1
P38304,MED8_YEAST,YBR193C,RNA polymerase II mediator complex subunit 8,MED8,
P38316,ATG12_YEAST,YBR217W,Autophagy-related protein 12,ATG12,APG12
P38138,GLU2A_YEAST,YBR229C,Glucosidase 2 subunit alpha precursor,ROT2,GLS2
P38131,KTR4_YEAST,YBR199W,Probable mannosyltransferase KTR4,KTR4,
P38326,SWC5_YEAST,YBR231C,SWR1-complex protein 5,SWC5,AOR1
P38151,PBP2_YEAST,YBR233W,PAB1-binding protein 2,PBP2,HEK1
P21372,PRP5_YEAST,YBR237W,Pre-mRNA-processing ATP-dependent RNA helicase PRP5,PRP5,RNA5
P38141,THI2_YEAST,YBR240C,Thiamine biosynthesis regulatory protein,THI2,PHO6
P07286,GPT_YEAST,YBR243C,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,ALG7,TUR1
P38143,GPX2_YEAST,YBR244W,Glutathione peroxidase 2,GPX2,AMI1
P38144,ISW1_YEAST,YBR245C,ISWI chromatin remodeling complex ATPase ISW1,ISW1,SGN2
P38333,ENP1_YEAST,YBR247C,Essential nuclear protein 1,ENP1,MEG1
P38307,DER1_YEAST,YBR201W,Degradation in the endoplasmic reticulum protein 1,DER1,
P32570,MED22_YEAST,YBR253W,RNA polymerase II mediator complex subunit 22,SRB6,MED22
P38337,SHG1_YEAST,YBR258C,COMPASS component SHG1,SHG1,CPS15
P38145,RISA_YEAST,YBR256C,Riboflavin synthase alpha chain,RIB5,
P37292,GLYM_YEAST,YBR263W,Serine hydroxymethyltransferase, mitochondrial precursor,SHM1,SHMT1;TMP3
P38336,POP4_YEAST,YBR257W,RNases MRP/P 32.9 kDa subunit,POP4,
P38349,UBX7_YEAST,YBR273C,UBX domain-containing protein 7,UBX7,CUI3
P38146,YPT10_YEAST,YBR264C,GTP-binding protein YPT10,YPT10,
P38342,TSC10_YEAST,YBR265W,3-ketodihydrosphingosine reductase TSC10,TSC10,
P37302,APE3_YEAST,YBR286W,Aminopeptidase Y precursor,APE3,APY1
P38343,SLM6_YEAST,YBR266C,Protein SLM6,SLM6,
P38153,AP3M_YEAST,YBR288C,AP-3 complex subunit mu,APM3,YKS6
P18480,SNF5_YEAST,YBR289W,Transcription regulatory protein SNF5,SNF5,HAF4;SWI10;TYE4
P38359,SUL1_YEAST,YBR294W,Sulfate permease 1,SUL1,SFP2
P38360,ATU1_YEAST,YBR295W,Probable copper-transporting ATPase,PCA1,CAD2;PAY2
P38361,PHO89_YEAST,YBR296C,Phosphate permease PHO89,PHO89,ITN1
P38157,MAL33_YEAST,YBR297W,Maltose fermentation regulatory protein MAL33,MAL33,MAL3R;MALR
P38156,MAL31_YEAST,YBR298C,Maltose permease MAL31,MAL31,MAL3T;MALT
P38158,MAL32_YEAST,YBR299W,Alpha-glucosidase MAL32,MAL32,MAL3S;MALS
Q3E7B6,VA0E_YEAST,YCL005W-A,Vacuolar ATP synthase subunit e,VMA9,CWH36;LDB10
P25604,STP22_YEAST,YCL008C,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease,STP22,VPS23
P25558,BUD3_YEAST,YCL013W,Bud site selection protein 3,BUD3,YCL012W
P25558,BUD3_YEAST,YCL012W,Bud site selection protein 3,BUD3,YCL012W
P25558,BUD3_YEAST,YCL014W,Bud site selection protein 3,BUD3,YCL012W
P25374,NFS1_YEAST,YCL017C,Cysteine desulfurase, mitochondrial precursor,NFS1,SPL1
P25376,AGP1_YEAST,YCL025C,General amino acid permease AGP1,AGP1,YCC5
P37261,FRM2_YEAST,YCL026C-A,Fatty acid repression mutant protein 2,FRM2,YCLX08C
P38344,REI1_YEAST,YBR267W,Pre-60S factor REI1,REI1,
P25367,RNQ1_YEAST,YCL028W,[PIN+] prion protein RNQ1,RNQ1,[PIN(+)]
P11709,BIK1_YEAST,YCL029C,Nuclear fusion protein BIK1,BIK1,ARM5;PAC14
P29539,RIF1_YEAST,YBR275C,Protein RIF1,RIF1,
P25567,SRO9_YEAST,YCL037C,RNA-binding protein SRO9,SRO9,
P25568,ATG22_YEAST,YCL038C,Autophagy-related protein 22,ATG22,AUT4
P25569,GID7_YEAST,YCL039W,Glucose-induced degradation protein 7,GID7,MOH2
P17709,HXKG_YEAST,YCL040W,Glucokinase GLK1,GLK1,HOR3
P17967,PDI_YEAST,YCL043C,Protein disulfide-isomerase precursor,PDI1,MFP1;TRG1
P25380,SPS22_YEAST,YCL048W,Sporulation-specific protein 22 precursor,SPS22,
P16550,APA1_YEAST,YCL050C,Protein APA1,APA1,DTP1
P25579,LRE1_YEAST,YCL051W,Laminarase-resistance protein LRE1,LRE1,
P25580,PBN1_YEAST,YCL052C,Protein PBN1,PBN1,
P25588,MRC1_YEAST,YCL061C,Mediator of replication checkpoint protein 1,MRC1,YCL060C
P25582,SPB1_YEAST,YCL054W,AdoMet-dependent rRNA methyltransferase SPB1,SPB1,
P25583,KAR4_YEAST,YCL055W,Karyogamy protein KAR4,KAR4,
P25333,HAL4_YEAST,YCR008W,Serine/threonine-protein kinase HAL4/SAT4,SAT4,HAL4
P25343,RV161_YEAST,YCR009C,Reduced viability upon starvation protein 161,RVS161,END6;FUS7;SPE161
P25375,PRTD_YEAST,YCL057W,Saccharolysin,PRD1,
P25615,DPO4_YEAST,YCR014C,DNA polymerase IV,POL4,POLX
P25362,PET18_YEAST,YCR020C,Protein PET18,PET18,HIT2
P23059,MAK31_YEAST,YCR020C-A,N-terminal acetyltransferase C complex subunit MAK31,MAK31,LSM9;SMX1
Q9URQ5,HTL1_YEAST,YCR020W-B,High temperature lethal protein 1,HTL1,DRT1
P25619,HSP30_YEAST,YCR021C,30 kDa heat shock protein,HSP30,YRO1
P25379,STDH_YEAST,YCL064C,Catabolic L-serine/threonine dehydratase,CHA1,
P25594,VBA3_YEAST,YCL069W,Vacuolar basic amino acid transporter 3,VBA3,
P25378,RHEB_YEAST,YCR027C,Rheb-like protein RHB1,RHB1,RSG1
P25623,SYP1_YEAST,YCR030C,Suppressor of yeast profilin deletion,SYP1,YCR029C-A
P06367,RS14A_YEAST,YCR031C,40S ribosomal protein S14-A,RPS14A,CRY1;RPL59
Q6B2C0,MTAL2_YEAST,YCL067C,Mating-type protein ALPHA2,HMLALPHA2,ALPHA-2;ALPHA2;MAT2A;MATAL2
Q6B2C0,MTAL2_YEAST,YCR039C,Mating-type protein ALPHA2,MATALPHA2,ALPHA-2;ALPHA2;MAT2A;MATAL2
P01365,MTAL1_YEAST,YCL066W,Mating-type protein ALPHA1,HMLALPHA1,ALPHA-1;ALPHA1;MAT1A;MATAL1
P01365,MTAL1_YEAST,YCR040W,Mating-type protein ALPHA1,MATALPHA1,ALPHA-1;ALPHA1;MAT1A;MATAL1
P23255,TAF2_YEAST,YCR042C,Transcription initiation factor TFIID subunit 2,TAF2,TAF150;TSM1
P25625,PER1_YEAST,YCR044C,Protein PER1 precursor,PER1,COS16
P25626,IMG1_YEAST,YCR046C,60S ribosomal protein IMG1, mitochondrial precursor,IMG1,PETCR46
P25628,ARE1_YEAST,YCR048W,Sterol O-acyltransferase 1,ARE1,SAT2
P25342,CDC10_YEAST,YCR002C,Cell division control protein 10,CDC10,
P25632,RSC6_YEAST,YCR052W,Chromatin structure remodeling complex protein RSC6,RSC6,
P25635,PWP2_YEAST,YCR057C,Periodic tryptophan protein 2,PWP2,UTP1;YCR055C;YCR058C
P16120,THRC_YEAST,YCR053W,Threonine synthase,THR4,
P25337,BUD31_YEAST,YCR063W,Bud site selection protein 31,BUD31,CWC14
P25641,ATG15_YEAST,YCR068W,Putative lipase ATG15,ATG15,AUT5;CVT17
P25334,CYPR_YEAST,YCR069W,Peptidyl-prolyl cis-trans isomerase CPR4 precursor,CPR4,CYP4;SCC3;YCR070W
P25638,TAH1_YEAST,YCR060W,TPR repeat-containing protein associated with Hsp90,TAH1,
P37262,SOL2_YEAST,YCR073W-A,Probable 6-phosphogluconolactonase 2,SOL2,YCRX13W
P25642,IMG2_YEAST,YCR071C,60S ribosomal protein IMG2, mitochondrial precursor,IMG2,
Q6B184,MATA2_YEAST,YCR096C,Hypothetical mating-type protein A2,HMRA2,A2
P01366,MATA1_YEAST,YCR097W,Mating-type protein A1,HMRA1,MAT1A;YCR097WB
P25377,ADH7_YEAST,YCR105W,NADP-dependent alcohol dehydrogenase 7,ADH7,ADHVII
P25390,SSK22_YEAST,YCR073C,Serine/threonine-protein kinase SSK22,SSK22,
Q03435,NHP10_YEAST,YDL002C,Non-histone protein 10,NHP10,HMO2
Q12158,SCC1_YEAST,YDL003W,Sister chromatid cohesion protein 1,MCD1,PDS3;RHC21;SCC1
P35182,PP2C1_YEAST,YDL006W,Protein phosphatase 2C homolog 1,PTC1,CWH47;KCS2;TPD1
P40327,PRS4_YEAST,YDL007W,26S protease regulatory subunit 4 homolog,RPT2,YHS4;YTA5
P17261,ERS1_YEAST,YCR075C,Transmembrane protein ERS1,ERS1,
P15646,FBRL_YEAST,YDL014W,rRNA 2'-O-methyltransferase fibrillarin,NOP1,LOT3
P06243,CDC7_YEAST,YDL017W,Cell division control protein 7,CDC7,LSD6;OAF2;SAS1
Q00055,GPD1_YEAST,YDL022W,Glycerol-3-phosphate dehydrogenase [NAD+] 1,GPD1,DAR1;HOR1;OSG1;OSR5
P54199,MPS1_YEAST,YDL028C,Serine/threonine-protein kinase MPS1,MPS1,RPK1
P32381,ARP2_YEAST,YDL029W,Actin-like protein 2,ARP2,ACT2
Q12093,TRMU_YEAST,YDL033C,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,SLM3,MTO2;MTU1
Q12389,DBP10_YEAST,YDL031W,ATP-dependent RNA helicase DBP10,DBP10,
P12945,NAT1_YEAST,YDL040C,N-terminal acetyltransferase A complex subunit NAT1,NAT1,AAA1
P06700,SIR2_YEAST,YDL042C,NAD-dependent histone deacetylase SIR2,SIR2,MAR1
Q07350,PRP11_YEAST,YDL043C,Pre-mRNA-splicing factor PRP11,PRP11,PRP10;RNA11
P20604,PP11_YEAST,YDL047W,Serine/threonine-protein phosphatase PP1-1,SIT4,LGN4;PPH1
P25386,USO1_YEAST,YDL058W,Intracellular protein transport protein USO1,USO1,INT1
P41058,RS29B_YEAST,YDL061C,40S ribosomal protein S29-B,RPS29B,YS29B
Q07418,PEX19_YEAST,YDL065C,Farnesylated protein PEX19,PEX19,PAS12
Q07471,THI3_YEAST,YDL080C,Thiamine metabolism regulatory protein THI3,THI3,KID1
P05318,RLA1_YEAST,YDL081C,60S acidic ribosomal protein P1-alpha,RPP1A,L12EIIA;RPA1;RPLA1
Q07500,NDH2_YEAST,YDL085W,External NADH-ubiquinone oxidoreductase 2, mitochondrial precursor,NDE2,NDH2
Q07508,LUC7_YEAST,YDL087C,Protein LUC7,LUC7,EPE1;EXM2
Q05166,NUP59_YEAST,YDL088C,Nucleoporin ASM4,ASM4,NUP59
P22007,RAM1_YEAST,YDL090C,Protein farnesyltransferase subunit beta,RAM1,DPR1;FUS8;SCG2;SGP2;STE16
Q12377,RPN6_YEAST,YDL097C,26S proteasome regulatory subunit RPN6,RPN6,NAS4
Q12154,GET3_YEAST,YDL100C,ATPase GET3,GET3,ARR4
P15436,DPOD_YEAST,YDL102W,DNA polymerase delta catalytic subunit,POL3,CDC2;HPR6;TEX1
P43124,NSE4_YEAST,YDL105W,Non-structural maintenance of chromosome element 4,NSE4,QRI2
P07269,PHO2_YEAST,YDL106C,Regulatory protein PHO2,PHO2,BAS2;GRF10
Q07528,ATG20_YEAST,YDL113C,Sorting nexin-42,ATG20,CVT20;SNX42
Q04344,HNT1_YEAST,YDL125C,Hit family protein 1,HNT1,HIT1
P25693,PCL2_YEAST,YDL127W,PHO85 cyclin 2,PCL2,CLN4
Q99385,VCX1_YEAST,YDL128W,Vacuolar calcium ion transporter,VCX1,HUM1;MNR1
P10622,RLA3_YEAST,YDL130W,60S acidic ribosomal protein P1-beta,RPP1B,L12EIIB;RPL44';RPL44P;RPLA3
P01098,STF1_YEAST,YDL130W-A,ATPase-stabilizing factor 9 kDa, mitochondrial precursor,STF1,AIS2
P23594,PP2A1_YEAST,YDL134C,Serine/threonine-protein phosphatase PP2A-1 catalytic subunit,PPH21,PPH1
Q07560,CRD1_YEAST,YDL142C,Cardiolipin synthetase,CRD1,CLS1
P39078,TCPD_YEAST,YDL143W,T-complex protein 1 subunit delta,CCT4,ANC2;TCP4
Q12250,RPN5_YEAST,YDL147W,26S proteasome regulatory subunit RPN5,RPN5,NAS5
Q99207,NOP14_YEAST,YDL148C,Nucleolar complex protein 14,NOP14,UTP2
Q12142,ATG9_YEAST,YDL149W,Autophagy-related protein 9,ATG9,APG9;AUT9;CVT7
Q12136,SAS10_YEAST,YDL153C,Something about silencing protein 10,SAS10,UTP3
P04819,DNLI_YEAST,YDL164C,DNA ligase I, mitochondrial precursor,CDC9,MMS8
P32770,NRP1_YEAST,YDL167C,Asparagine-rich protein,NRP1,ARP;ARP1
P32771,FADH_YEAST,YDL168W,S-(hydroxymethyl)glutathione dehydrogenase,SFA1,ADH5;SFA
P32891,DLD1_YEAST,YDL174C,D-lactate dehydrogenase [cytochrome] 1, mitochondrial precursor,DLD1,DLD
P46681,DLD2_YEAST,YDL178W,D-lactate dehydrogenase [cytochrome] 2, mitochondrial precursor,DLD2,AIP2
P05746,RL41_YEAST,YDL133C-A,60S ribosomal protein L41,RPL41B,RPL47A;YL41A
P05746,RL41_YEAST,YDL184C,60S ribosomal protein L41,RPL41A,RPL47A;YL41A
P23595,PP2A2_YEAST,YDL188C,Serine/threonine-protein phosphatase PP2A-2 catalytic subunit,PPH22,PPH2;SIS4
P52891,NUP84_YEAST,YDL116W,Nucleoporin NUP84,NUP84,
P39741,RL35_YEAST,YDL136W,60S ribosomal protein L35,RPL35B,SOS1
P39741,RL35_YEAST,YDL191W,60S ribosomal protein L35,RPL35A,SOS1
P26188,MGMT_YEAST,YDL200C,Methylated-DNA--protein-cysteine methyltransferase,MGT1,MGMT
Q12315,GLE1_YEAST,YDL207W,Nucleoporin GLE1,GLE1,BRR3;RSS1
Q12046,CWC2_YEAST,YDL209C,Pre-mRNA-splicing factor CWC2,CWC2,NTC40;SLC3
Q02774,SHR3_YEAST,YDL212W,Secretory component protein SHR3,SHR3,APF1
P33327,DHE2_YEAST,YDL215C,NAD-specific glutamate dehydrogenase,GDH2,GDH-B;GDHB
Q12468,CSN5_YEAST,YDL216C,COP9 signalosome complex subunit 5,RRI1,CSN5;JAB1
P32797,CDC13_YEAST,YDL220C,Cell division control protein 13,CDC13,EST4
P38988,YHM1_YEAST,YDL198C,Putative mitochondrial carrier protein YHM1/SHM1,GGC1,SHM1;YHM1
Q07653,HBT1_YEAST,YDL223C,Protein HBT1,HBT1,Crem
Q07657,SHS1_YEAST,YDL225W,Seventh homolog of septin 1,SHS1,SEP7
P11484,HSP75_YEAST,YDL229W,Heat shock protein SSB1,SSB1,YG101
Q05672,RBS1_YEAST,YDL189W,RNA-binding suppressor of PAS kinase protein 1,RBS1,
P32356,TREA_YEAST,YDR001C,Neutral trehalase,NTH1,NTH
P41920,YRB1_YEAST,YDR002W,Ran-specific GTPase-activating protein 1,YRB1,CST20;HTN1;SFO1
Q03446,RCR2_YEAST,YDR003W,Protein RCR2,RCR2,SSH5
P49626,RL4B_YEAST,YDR012W,60S ribosomal protein L4-B,RPL4B,RPL2B
Q12488,PSF1_YEAST,YDR013W,DNA replication complex GINS protein PSF1,PSF1,CDC101
P48015,GCST_YEAST,YDR019C,Aminomethyltransferase, mitochondrial precursor,GCV1,GSD1
Q12099,FAL1_YEAST,YDR021W,ATP-dependent RNA helicase FAL1,FAL1,
Q12421,CIS1_YEAST,YDR022C,Protein CIS1,CIS1,ATG31
P07284,SYSC_YEAST,YDR023W,Seryl-tRNA synthetase, cytoplasmic,SES1,SERS
P26781,RS11_YEAST,YBR048W,40S ribosomal protein S11,RPS11B,RPS18A
P26781,RS11_YEAST,YDR025W,40S ribosomal protein S11,RPS11A,RPS18A
Q12071,VPS54_YEAST,YDR027C,Vacuolar protein sorting-associated protein 54,VPS54,CGP1;LUV1;RKI1;TCS3
Q12021,RAD28_YEAST,YDR030C,Radiation sensitive protein 28,RAD28,
Q12335,PST2_YEAST,YDR032C,Protoplast secreted protein 2 precursor,PST2,
P15180,SYKC_YEAST,YDR037W,Lysyl-tRNA synthetase, cytoplasmic,KRS1,GCD5
Q01896,ATN2_YEAST,YDR039C,Sodium transport ATPase 2,ENA2,PMR2B
P13587,ATN1_YEAST,YDR040C,Sodium transport ATPase 1,ENA1,HOR6;PMR2;PMR2A
Q03125,NRG1_YEAST,YDR043C,Transcriptional regulator NRG1,NRG1,MSS1
P41815,BAP3_YEAST,YDR046C,Valine amino-acid permease,BAP3,PAP1
P32347,DCUP_YEAST,YDR047W,Uroporphyrinogen decarboxylase,HEM12,HEM6;POP3
P32325,DBF4_YEAST,YDR052C,Protein DBF4,DBF4,DNA52;LSD7
P14682,UBC3_YEAST,YDR054C,Ubiquitin-conjugating enzyme E2-34 kDa,CDC34,DNA6;UBC3
Q12355,PST1_YEAST,YDR055W,Protoplast secreted protein 1 precursor,PST1,HPF2
Q12176,MAK21_YEAST,YDR060W,Ribosome biogenesis protein MAK21,MAK21,NOC1
P40970,LCB2_YEAST,YDR062W,Serine palmitoyltransferase 2,LCB2,SCS1;TSC1
P05756,RS13_YEAST,YDR064W,40S ribosomal protein S13,RPS13,RPS13B;RPS13C
P40971,LYS14_YEAST,YDR034C,Lysine biosynthesis regulatory protein LYS14,LYS14,
P38954,IPT1_YEAST,YDR072C,Inositolphosphotransferase 1,IPT1,KTI6;SYR4
